Unnamed: 0,System,Author(s),Publication date,Year,Reference,Citations,Peer reviewed?,Link,Parameters,Hardware,Training Compute,Epoch,Epoch (pretrain),Epoch (finetune),uncertain,Pretrain Dataset Size,Inferred_compute (6ND),Finetune Dataset Size,Dataset Size,Dataset(s),Perplexity (WT103),Perplexity (WT2),Perplexity (PTB),Zero-shot?,Include?,Uses Cache,Outlier?,Architecture,Base Model,GitHub,Organizations,Organization Categorization,Comments,Complete row,Tokenizer,Vocabulary,algorithmic,optimizer_quality,architecture_quality,attention_mechanism,training_efficiency,activation_functions,normalization_techniques,learning_paradigm,regularization_techniques,special_algorithms,overall_algorithm_quality
188,Engin-Base (NE),"Zhongping Zhang, Yiwen Gu, Bryan A. Plummer",2021/12/11,2021,Show and Write: Entity-aware Article Generation with Image Information,0.0,0.5,https://arxiv.org/pdf/2112.05917,1.24E+08,,,3,,,0.0,,0.00E+00,,0.0,,,20.7,,0.0,1.0,0,0,,,,,,,0,,,"Architecture: GPT2 architecture with modifications to incorporate named entities; Optimizer: Likely Adam, (default for fine-tuning in the implementation details, Paszke et al., 2019); LR Schedule: Linear warm-up for 0.06 epochs, then constant learning rate. Maximum learning rate of 1e-4 for base and medium models and 0.5 * 1e-4 for XL.; Attention: Multi-head attention from GPT2; Special Algorithms: Entity-aware Mechanism, Named-entity extraction; Initialization: Pretrained GPT2 weights; Other: Top-p sampling for decoding, Introduction of special tokens <start-> and <end-T> to indicate the boundaries of fields",,,,,,,,,,
189,Amended-DARTS,"Kaifeng Bi, Changping Hu, Lingxi Xie, Xin Chen, Longhui Wei, Qi Tian",2019/10/25,2019,Stabilizing DARTS with Amended Gradient Estimation on Architectural Parameters,48.0,,https://arxiv.org/pdf/1910.11831,2.30E+07,,,,,,0.0,929000.0,0.00E+00,,929000.0,,,,54.8,0.0,0.0,0,0,NAS,DARTS,,"Stanford University; SambaNova Systems; Peking University; Adobe; University at Buffalo, SUNY",Industry - Academia Collaboration,,1,,,"Architecture: Cell-based architecture similar to DARTS with normal and reduction cells. The cells contain N nodes, with each node taking inputs from previous nodes. Each connection between nodes involves a set of pre-defined operators.; Optimizer: Adam optimizer for updating architectural parameters during search stage, SGD with momentum during re-training.; LR Schedule: During the search stage, a learning rate of 0.0003 for the Adam optimizer is used. During re-training, an initial learning rate of 0.025 is used, decaying with cosine annealing, and arriving at 0 after 600 epochs.; Training: Differentiable architecture search, Amended Gradient Estimation; Attention: Not applicable; Regularization: Weight decay of 0.001 is used with the Adam optimizer during search, Weight decay is set to 0.0003 during re-training, During re-training, some regularisation techniques are used, including Cutout, Dropout and auxiliary loss.; Special Algorithms: Amended Gradient Estimation - A modified second-order gradient estimation method to improve the stability of the search process and prevent convergence to dummy architectures.; Initialization: Equal weights assigned to each operator on each edge; Other: The core of Amended DARTS involves an 'amending coefficient' (eta) which weights the amended second-order gradient. The value of eta greatly affects the network architecture., Fixed edge vs Searched Edge experiments, Progressive approach to search process where we first determine the best edges and then determine the best operators given those fixed edges",,,,,,,,,,
190,RNN+LSA+KN5+cache (model combination w/ linear extrapolation),"Tomas Mikolov, Geoffrey Zweig",2012/12/01,2012,Context dependent recurrent neural network language model,716.0,,https://www.microsoft.com/en-us/research/wp-content/uploads/2016/02/rnn_ctxt.pdf,3.14E+06,,,UNK,,,0.0,929000.0,#VALUE!,,929000.0,Penn TreeBank,,,72.9,0.0,0.0,1,0,Recurrent,RNN,,,,,1,,,,,,,,,,,,,
191,LSTM-3-layer+Gadam,"Diego Granziol, Xingchen Wan, Samuel Albanie, Stephen Roberts",2020/03/02,2020,Iterative Averaging in the Quest for Best Test Error,5.0,,https://arxiv.org/pdf/2003.01247,2.40E+07,,,200,,,0.0,929000.0,2.68E+16,,929000.0,,,,58.77,0.0,1.0,0,0,Recurrent,LSTM,,Eindhoven University of Technologyl; University of Twente,Academia,,1,Word-level,10000,"Architecture: 3-layer LSTM; Optimizer: Gadam, AdamW, Padam, ASGD, SGD; LR Schedule: Linear decay, piece-wise constant schedule, step decay, constant LR for some experiments, a linear decay mechanism leading up to iterate averaging activation; Training: Iterate Averaging (IA), Stochastic Weight Averaging (SWA); Attention: N/A; Regularization: Weight decay (L2 regularization), decoupled weight decay; Special Algorithms: Gadam, GadamX, Lookahead; Initialization: Not explicitly mentioned, but base optimizers use default initialization; Other: Averaging starting point (Tavg):  A manual trigger to start averaging at the 100th epoch for ASGD. Tune Tavg for Gadam. An automatic trigger was also explored. Strided Iterate Average, Polynomial-style averaging",,,,,,,,,,
192,2-layer-LSTM+Deep-Gradient-Compression,"Yujun Lin, Song Han, Huizi Mao, Yu Wang, William J. Dally",2017/12/05,2017,Deep Gradient Compression: Reducing the Communication Bandwidth for Distributed Training,1270.0,,https://arxiv.org/pdf/1712.01887,6.02E+06,,,40,,,0.0,929000.0,1.34E+15,,929000.0,,,,72.24,0.0,0.0,0,0,Recurrent,LSTM,https://github.com/synxlin/deep-gradient-compression,University of Liverpool; USC Information Sciences Institute,Academia,,1,,,"Architecture: 2-layer LSTM; Optimizer: Vanilla SGD and Nesterov momentum SGD; LR Schedule: Learning rate decays when no improvement is made in validation loss, Warm-up training used in the early stages of training.; Training: local gradient clipping, warm-up training; Attention: not applicable; Regularization: gradient sparsification, Momentum factor masking; Special Algorithms: Deep Gradient Compression (DGC); Initialization: not mentioned; Other: Momentum correction, Gradient Sparsification",,,,,,,,,,
193,MPT-7B,MosaicML NLP Team,2023/05/05,2023,"Introducing MPT-7B: A New Standard for Open-Source, Commercially Usable LLMs",,,https://www.mosaicml.com/blog/mpt-7b,7.00E+09,,,1,,,0.0,1000000000000.0,4.20E+22,,1000000000000.0,,,9.96,,0.5,1.0,0,0,Transformer,MPT,,,,,1,https://arxiv.org/abs/2204.06745,50432,,,,,,,,,,,
194,AWD-LSTM+WT+Cache+IOG (PTB),"Sho Takase, Jun Suzuki, Masaaki Nagata",2017/09/26,2017,Input-to-Output Gate to Improve RNN Language Models,7.0,,https://arxiv.org/pdf/1709.08907,3.00E+07,,,5,,,0.0,929000.0,8.36E+14,,929000.0,,,,53.0,0.0,1.0,1,0,Recurrent,LSTM,https://github.com/nttcslab-nlp/iog,,,,1,Word-level,10000,"Architecture: LSTM (2-layer with 650 or 1500 dimensions), Variational RHN (depth 8), AWD-LSTM; Optimizer: Adam; LR Schedule: Learning rate decay 1/Epoch; Training: dropout, variational inference based dropout; Regularization: weight dropping (for AWD-LSTM), DropConnect (for AWD-LSTM); Special Algorithms: Input-to-Output Gate (IOG), Averaged Stochastic Gradient Descent (for AWD-LSTM); Other: Ensemble averaging of output probability distributions",,,,,,,,,,
195,AWD-LSTM+WT+Cache+IOG (WT2),"Sho Takase, Jun Suzuki, Masaaki Nagata",2017/09/26,2017,Input-to-Output Gate to Improve RNN Language Models,7.0,,https://arxiv.org/pdf/1709.08907,5.30E+07,,,5,,,0.0,2080000.0,3.31E+15,,2080000.0,,,51.7,,0.0,1.0,1,0,Recurrent,LSTM,https://github.com/nttcslab-nlp/iog,,,,1,Word-level,33000,"Architecture: LSTM with Input-to-Output Gate (IOG). The base LSTM can be Elman network, LSTM, Recurrent Highway Network (RHN) or other RNN variants. IOG is an additional gate function in the output layer of the selected RNN language model.; Optimizer: Adam; LR Schedule: Learning rate decay: 1/Epoch; Regularization: Dropout rate 50%; Special Algorithms: Input-to-Output Gate (IOG)",,,,,,,,,,
196,LSTM+NeuralCache,"Lyan Verwimp, Joris Pelemans, Hugo Van hamme, Patrick Wambacq",2018/09/24,2018,Information-Weighted Neural Cache Language Models for ASR,3.0,1.0,https://arxiv.org/pdf/1809.08826,2.10E+06,,,39,,,0.0,2080000.0,1.02E+15,,2080000.0,,,66.2,,0.0,1.0,1,0,Recurrent,LSTM,,,,,1,Word-level,33000,"Architecture: 1-layer LSTM with 512 LSTM cells; Optimizer: Stochastic Gradient Descent; LR Schedule: Exponential decay: lr = a * lr_prev, a = 0.8 after first 6 epochs. Initial learning rate is 1.0; Training: Backpropagation through time (35 steps), Gradient clipping (norm clipped at 5); Regularization: Dropout (50%); Special Algorithms: Information-Weighted Neural Cache, Information-Weighted Interpolation, Information-Weighted Selective Cache; Initialization: Weights are initialized using a uniform distribution between -0.05 and 0.05; Other: Discourse level training (LSTM state is not reset at sentence boundaries)",,,,,,,,,,
197,Stack RNN,"Armand Joulin, Tomas Mikolov",2015/03/03,2015,Inferring Algorithmic Patterns with Stack-Augmented Recurrent Nets,440.0,,https://arxiv.org/abs/1503.01007,2.01E+06,,,,,,0.0,929000.0,0.00E+00,,929000.0,,,,118.0,0.0,1.0,0,0,Recurrent,RNN,"https://github.com/facebook/Stack-RNN, ",,,,1,?,?,"Architecture: Stack-Augmented Recurrent Neural Network (Stack RNN): RNN with an external memory module, specifically a pushdown stack (or multiple stacks) or a doubly-linked list.  The memory is controlled by learnable gating mechanisms (multiplicative gating) which dictate operations like PUSH and POP. Two basic topologies of the structured memory: pushdown stack and a list.; Optimizer: Stochastic Gradient Descent (SGD); LR Schedule: Initial learning rate of 0.1, divided by 2 each time the entropy on the validation set is not decreasing.; Training: Backpropagation through time (BPTT) with 50 steps, Hard clipping of gradients to 15 to prevent gradient explosions; Attention: Not applicable.; Initialization: Not mentioned.; Other: Search-based procedure on top of SGD for complex tasks, using random restarts., Discretizing controllers at test time to address numerical issues., Use of multiplicative gating mechanisms as learnable controllers over the memory",,,,,,,,,,
198,NAS+ESS (156M),"Yinqiao Li, Chi Hu, Yuhao Zhang, Nuo Xu, Yufan Jiang, Tong Xiao, Jingbo Zhu, Tongran Liu, Changliang Li",2020/05/06,2020,Learning Architectures from an Extended Search Space for Language Modeling,12.0,,https://arxiv.org/pdf/2005.02593,1.56E+08,,,30,,,0.0,103000000.0,2.89E+18,0.0,103000000.0,,29.2,,,0.0,0.0,0,0,Recurrent,RNN,,Salesforce Resarch,Industry,,1,,,"Architecture: Recurrent neural network (RNN) based system with Extended Search Space (ESS) method. The ESS method learns both intra-cell and inter-cell architectures simultaneously using differentiable architecture search (DARTS).; Optimizer: Gradient-based optimization (using DARTS, which is a differentiable architecture search method); LR Schedule: Learning rate was set as 3 × 10-3 for the intra-cell architecture and 1 × 10-3 for the inter-cell architecture for PTB dataset. For WikiText-103 the intra-cell and inter-cell learning rate to 1 × 10-3 and 1 × 10-4.; Training: Differentiable Architecture Search (DARTS), Joint learning of intra-cell and inter-cell architectures; Attention: Not applicable; Special Algorithms: Extended Search Space (ESS) method for neural architecture search; Initialization: Not mentioned; Other: Backpropagation Through Time (BPTT) with length 35 for PTB and 70 for WikiText-103.",,,,,,,,,,
199,Sandwich Transformer,"Ofir Press, Noah A. Smith, Omer Levy",2019/11/10,2019,Improving Transformer Models by Reordering their Sublayers,57.0,,https://arxiv.org/abs/1911.03864,2.09E+08,,,180,,,0.0,700000000.0,1.58E+20,0.0,700000000.0,Toronto Books Corpus,17.84,,,1.0,1.0,0,0,Transformer,Transformer-XL,https://github.com/ofirpress/sandwich_transformer,,,,1,BERT,29000,"Architecture: Transformer. Explores different sublayer orderings (interleaved, sandwich, random). Sandwich Transformer reorders sublayers placing self-attention layers at the bottom and feedforward layers at the top.; Optimizer: Same hyperparameters as Baevski and Auli's original model, details not specified in the paper.; LR Schedule: Same hyperparameters as Baevski and Auli's original model, details not specified in the paper.; Attention: Multi-head attention (16 heads) in encoder and decoder when used in machine translation.; Initialization: Not mentioned",,,,,,,,,,
200,LSTM(large)+Sememe+cell,"Yujia Qin, Fanchao Qi, Sicong Ouyang, Zhiyuan Liu, Cheng Yang, Yasheng Wang, Qun Liu, Maosong Sun",2019/10/20,2019,Improving Sequence Modeling Ability of Recurrent Neural Networks via Sememes,19.0,,https://arxiv.org/pdf/1910.08910,4.80E+07,,,40,,,0.0,2080000.0,2.40E+16,,2080000.0,,,85.76,,0.0,1.0,0,1,Recurrent,LSTM,https://github.com/thunlp/SememeRNN,,,,1,Word-level,33378,"Architecture: LSTM, GRU and their bidirectional variants. Three methods of incorporating sememes into RNNs are proposed: simple concatenation (+concat), adding sememe output gate (+gate) and introducing sememe-RNN cell (+cell).; Optimizer: Stochastic Gradient Descent (SGD); LR Schedule: The learning rate would be divided by 4 if no improvement is observed on the validation set. Initial learning rate is 20 for LSTM and 10 for GRU.; Regularization: dropout, gradient norm clip boundary is 0.25; Initialization: Word and sememe embeddings are randomly initialized as real-valued vectors using a normal distribution with mean 0 and variance 0.05.",,,,,,,,,,
201,GPT-Neo-1.3B,"Sid Black, Leo Gao, Phil Wang, Connor Leahy, Stella Biderman",2021/03/21,2021,GPT-Neo: Large Scale Autoregressive Language Modeling with Mesh-Tensorflow,,,https://github.com/EleutherAI/gpt-neo,1.30E+09,,,1,,,0.0,400000000000.0,3.12E+21,,400000000000.0,,,13.1,,1.0,0.0,0,0,Transformer,GPT-Neo,https://github.com/EleutherAI/gpt-neo,,,,1,,,,,,,,,,,,,
202,LSTM(medium)+Sememe+cell,"Yujia Qin, Fanchao Qi, Sicong Ouyang, Zhiyuan Liu, Cheng Yang, Yasheng Wang, Qun Liu, Maosong Sun",2019/10/20,2019,Improving Sequence Modeling Ability of Recurrent Neural Networks via Sememes,19.0,,https://arxiv.org/pdf/1910.08910,1.00E+07,,,40,,,0.0,2080000.0,5.00E+15,,2080000.0,,,89.16,,0.0,1.0,0,0,Recurrent,LSTM,https://github.com/thunlp/SememeRNN,,,,1,Word-level,33378,"Architecture: LSTM (medium and large), GRU (medium and large) and their bidirectional variants; Optimizer: SGD; LR Schedule: Initial learning rate is 20 for LSTM and 10 for GRU. The learning rate would be divided by 4 if no improvement is observed on the validation set.; Attention: Not applicable; Regularization: gradient norm clip boundary 0.25, dropout (0.5 for medium, 0.65 for large); Special Algorithms: Simple Concatenation(+concat), Adding Sememe output gate(+gate), Introducing Sememe-RNN cell(+cell); Initialization: word and sememe embeddings are randomly initialized as real-valued vectors using a normal distribution with mean 0 and variance 0.05",,,,,,,,,,
203,Neural cache model (size=2000) (300M),"Edouard Grave, Armand Joulin, Nicolas Usunier",2016/12/13,2016,Improving Neural Language Models with a Continuous Cache,302.0,,https://arxiv.org/abs/1612.04426,3.00E+08,,,UNK,,,0.0,103000000.0,#VALUE!,0.0,103000000.0,WikiText-103,40.8,,,0.0,1.0,1,0,Recurrent,LSTM,,,,,1,Word-level,260000,"Architecture: LSTM with 1024 units; Optimizer: Adagrad; LR Schedule: constant; Training: dropout, truncated backpropagation through time; Regularization: dropout (probability of dropping out units equals to 0.65, 0.45 and 0.25, depending on the datasets); Special Algorithms: Neural Cache Model; Initialization: initial weight uniformly sampled in the range [-0.05, 0.05]; Other: gradient clipping (norm of the gradient to 0.1), adaptive softmax (for text8 and wikitext103)",,,,,,,,,,
204,TCN (148M),"Shaojie Bai, J. Zico Kolter, Vladlen Koltun",2018/02/15,2018,Convolutional Sequence Modeling Revisited,64.0,,https://openreview.net/forum?id=rk8wKk-R-,1.48E+08,,,UNK,,,0.0,103000000.0,#VALUE!,0.0,103000000.0,WikiText-103,45.19,,,0.0,0.0,0,1,Convolutional,TCN,,,,,1,,,,,,,,,,,,,
205,LSTM (WT103),"Edouard Grave, Armand Joulin, Nicolas Usunier",2016/12/13,2016,Improving Neural Language Models with a Continuous Cache,302.0,,https://arxiv.org/abs/1612.04426,1.10E+07,,,UNK,,,0.0,103000000.0,#VALUE!,0.0,103000000.0,WikiText-103,48.7,,,0.0,1.0,0,0,Recurrent,LSTM,,,,,1,Word-level,260000,"Architecture: 1024 LSTM units; Optimizer: Adagrad; LR Schedule: Not specified explicitly, but a fixed learning rate is used.; Training: gradient clipping, dropout, truncated backpropagation through time; Regularization: dropout with probability 0.65 (text8 and wikitext2), 0.45 (text8), 0.25 (wikitext103), weight initialization sampled uniformly in the range [-0.05, 0.05]; Initialization: initial weight uniformly sampled in the range [-0.05, 0.05]; Other: adaptive softmax (used for text8 and wikitext103)",,,,,,,,,,
206,ENAS,"Hieu Pham, Melody Y. Guan, Barret Zoph, Quoc V. Le, Jeff Dean",2018/02/09,2018,Efficient Neural Architecture Search via Parameter Sharing,2760.0,,https://arxiv.org/abs/1802.03268,2.40E+07,,,150,,,0.0,929000.0,2.01E+16,,929000.0,Penn TreeBank,,,55.8,0.0,0.0,0,0,NAS,NAS,,Peking University,Academia,,1,,,"Architecture: ENAS discovers neural network architectures by searching for an optimal subgraph within a large computational graph. The controller is an LSTM with 100 hidden units.; Optimizer: Adam optimizer for training the controller parameters (θ) and SGD for training the shared parameters of the child models (ω).; LR Schedule: For Penn Treebank, SGD with a learning rate of 20.0, decayed by a factor of 0.96 after every epoch starting at epoch 15, for a total of 150 epochs. For CIFAR-10, Nesterov momentum is used with the learning rate following the cosine schedule with Imax = 0.05, Imin = 0.001, To = 10, and Tmul = 2.; Training: REINFORCE for training the controller with a moving average baseline, Highway connections are used to augment the simple transformations between nodes in the constructed recurrent cell., Tanh constant of 2.5 and a temperature of 5.0 for the sampling logits, Adding the controller's sample entropy to the reward, weighted by 0.0001 to prevent premature convergence; Attention: Not applicable; Regularization: l2 regularization weighted by 10^-7, variational dropout, tying word embeddings and softmax weights, gradient clipping at 0.25 (Penn Treebank) or normalizing the gradient norm (CIFAR-10), l2 weight decay of 10^-4 (CIFAR-10), KL divergence to enforce skip connection sparsity (CIFAR-10); Special Algorithms: Efficient Neural Architecture Search (ENAS): Parameter sharing among child models by searching for an optimal subgraph within a large computational graph,, Controller trained with policy gradient to select a subgraph that maximizes the expected reward on a validation set., Child model corresponding to the selected subgraph is trained to minimize a canonical cross entropy loss.; Initialization: Controller parameters (θ) initialized uniformly in [-0.1, 0.1]. Shared parameters (ω) initialized uniformly in [-0.025, 0.025] during architecture search, and [-0.04, 0.04] when training a fixed architecture. CIFAR-10 shared parameters use He initialization.; Other: tanh constant and temperature are used for the sampling logits, Entropy of the controller's sampling is added to the reward., For CIFAR-10, KL divergence between skip connection probabilities is added to the reward.",,,,,,,,,,
207,LSTM (PTB),"Edouard Grave, Armand Joulin, Nicolas Usunier",2016/12/13,2016,Improving Neural Language Models with a Continuous Cache,302.0,,https://arxiv.org/abs/1612.04426,3.28E+07,,,UNK,,,0.0,929000.0,#VALUE!,,929000.0,Penn TreeBank,,,82.3,0.0,1.0,0,0,Recurrent,LSTM,,,,,1,Word-level,10000,"Architecture: LSTM with 1024 units; Optimizer: Adagrad; LR Schedule: Not explicitly mentioned, but a learning rate of 0.2 is used; Training: Truncated Backpropagation Through Time, Gradient Clipping, Dropout; Attention: Not applicable; Regularization: Dropout with probability 0.65 (for small datasets), Dropout with probability 0.45 (for text8), Dropout with probability 0.25 (for wikitext103); Special Algorithms: Neural Cache Model; Initialization: Initial weights uniformly sampled in the range [-0.05, 0.05]; Other: Adaptive Softmax is used for faster training with large vocabularies",,,,,,,,,,
208,AWD-LSTM + Phrase Induction + finetuning,"Hongyin Luo, Lan Jiang, Yonatan Belinkov, James Glass",2019/06/04,2019,"Improving Neural Language Models by Segmenting, Attending, and Predicting the Future",12.0,,https://arxiv.org/abs/1906.01702,2.40E+07,,,,,,0.0,,0.00E+00,929000.0,929000.0,,,,55.7,0.0,1.0,0,0,Recurrent,LSTM,https://github.com/luohongyin/PILM,,,,1,Word-level,10000,"Architecture: AWD-LSTM with a phrase induction module, formulated as a multi-layer architecture. A two-layer LSTM is used as an example, where the first layer is a phrase generator and the last layer is a word generator. Can be extended to L layers with the first L1 layers generating phrases and the next L2 = L - L1 generating words.; Optimizer: Stochastic Gradient Descent (SGD) and Averaged SGD (ASGD); LR Schedule: Not explicitly mentioned but inferred to vary as ASGD is used; Training: Variational dropout for hidden states, Weight dropout, Negative sampling for context-phrase alignment; Attention: Head-finding attention mechanism is used to calculate the embedding of each phrase.; Regularization: Context-phrase alignment loss used as a regularization term with a coefficient γ; Special Algorithms: Syntactic Height and Phrase Induction algorithm based on temporal convolutional networks (TCN) to predict induced phrases; Initialization: Not explicitly mentioned; Other: Word embedding tying strategy, Phrase segmenting conditions (PSC) to determine the last word of an induced phrase, HardTanh function to calculate probabilities",,,,,,,,,,
209,Transformer-XL Large + Phrase Induction,"Hongyin Luo, Lan Jiang, Yonatan Belinkov, James Glass",2019/06/04,2019,"Improving Neural Language Models by Segmenting, Attending, and Predicting the Future",12.0,,https://arxiv.org/abs/1906.01702,2.57E+08,,,1,,,0.0,103000000.0,1.59E+17,103000000.0,206000000.0,WikiText-103,17.4,,,0.0,1.0,0,0,Transformer,Transformer-XL,https://github.com/luohongyin/PILM,,,,1,Word-level,268000,"Architecture: Transformer-XL Large. Utilizes both a recurrent architecture and a multi-head attention mechanism.; Optimizer: Stochastic Gradient Descent (SGD) and averaged SGD (ASGD); LR Schedule: Not explicitly stated in the context provided. The base model paper should be consulted.; Training: variational dropout for hidden states, weight dropout, negative sampling; Attention: Multi-head attention mechanism is used in the base Transformer-XL architecture. Head-finding attention is also used for phrase embedding.; Regularization: weight dropout 0.5, context-phrase alignment loss as a regularization term (coefficient not specified); Special Algorithms: Phrase Induction based on syntactic heights, Head-Finding Attention; Initialization: Not explicitly stated in the context provided.; Other: Word embedding tying strategy, Temporal Convolutional Network (TCN) for calculating syntactic heights",,,,,,,,,,
210,Transformer + Average Attention Network,"Jian Guo Zhang, Jian Ping Li, Huang Li",2019/01/01,2019,Language Modeling with Transformer,126.0,,https://ieeexplore.ieee.org/abstract/document/9067534,UNK,,,,,,1.0,103000000.0,#VALUE!,0.0,103000000.0,WikiText-103,22.13,,,0.0,0.0,0,0,Transformer,Transformer,,NVIDIA,Industry,,0,,,,,,,,,,,,,
211,AdvSoft + 4 layer QRNN + dynamic evaluation,"Dilin Wang, Chengyue Gong, Qiang Liu",2019/06/10,2019,Improving Neural Language Modeling via Adversarial Training,95.0,,https://arxiv.org/abs/1906.03805,2.60E+07,,3.6e+17,,,,0.0,103000000.0,0.00E+00,,103000000.0,WikiText-103,28.0,,,0.0,1.0,0,0,Recurrent/Convolutional,QRNN,https://github.com/ChengyueGongR/advsoft,,,,1,Word-level,268000,"Architecture: AWD-LSTM (3 layer LSTM), QRNN (4 layer QRNN), Transformer (6-layer encoder and decoder for Transformer-Base, 6-layer encoder and decoder for Transformer-Big for WMT2014 De->En; 4-layer encoder and decoder for Transformer-Small and Transformer-Base for IWSLT2014 De->En); Optimizer: SGD, Averaged SGD (ASGD), Adam; LR Schedule: Follow the learning rate warm-up strategy in Vaswani et al. (2017); Training: Adversarial training on output embedding vectors in softmax layer, Weight tying, Gaussian Noise, Dynamic evaluation (post-processing); Regularization: Adversarial regularization; Special Algorithms: Adversarial Softmax (AdvSoft), Minimax training strategy for regularization, MoS (mixture of softmax)",,,,,,,,,,
212,Compress-LSTM (4.6M),"Artem M. Grachev, Dmitry I. Ignatov, Andrey V. Savchenko",2019/02/06,2019,Compression of Recurrent Neural Networks for Efficient Language Modeling,37.0,,"https://arxiv.org/abs/1902.02380#:~:text=Compression%20of%20Recurrent%20Neural%20Networks%20for%20Efficient%20Language%20Modeling,-Artem%20M.&text=Recurrent%20neural%20networks%20have%20proved,real%2Dtime%20offline%20mobile%20applications.",4.64E+06,,,90,,,0.0,929000.0,2.33E+15,,929000.0,,,,117.66,0.0,0.0,0,0,Recurrent,LSTM,,,,,1,,,"Architecture: LSTM networks. They compress the output layer and LSTM-layers separately.  Emphasis on matrix factorization compression techniques and Tensor-Train decomposition.; Optimizer: Adam optimizer is used initially. Then, the optimizer is switched to SGD (Stochastic Gradient Descent); LR Schedule: Explicit learning rate schedule is not specified, but randomized search is performed over learning rate and learning rate schedule.; Training: fine-tuning after pruning, early stopping based on validation perplexity; Attention: Not applicable; Regularization: unspecified conventional regularization techniques used to prevent overfitting, dropout (implicitly mentioned as part of hyperparameter tuning); Special Algorithms: Low-rank factorization, Tensor Train (TT) decomposition; Initialization: Not mentioned",,,,,,,,,,
213,AWD-LSTM + MoS + Partial Shuffled,"Dilin Wang, Chengyue Gong, Qiang Liu",2019/06/10,2019,Improving Neural Language Modeling via Adversarial Training,95.0,,https://arxiv.org/abs/1906.03805,3.50E+07,,,750,,,0.0,2080000.0,3.28E+17,,2080000.0,WikiText-2,,38.07,,0.0,1.0,0,0,Recurrent/Convolutional,QRNN,https://github.com/ChengyueGongR/advsoft,,,,1,Word-level,33000,"Architecture: AWD-LSTM: a three-layer LSTM is used for PTB and WT2.
QRNN: Quasi-Recurrent neural networks is used for WT103 dataset. 
Transformer-Base and Transformer-Big architectures are used for the machine translation task. Transformer-Base consists of a 6-layer encoder and a 6-layer decoder with 512-dimensional and 1024-dimensional hidden units per layer, respectively.
Transformer-Small consists of a 4-layer encoder and a 4-layer decoder with 256-dimensional hidden units per layer; Optimizer: SGD and averaged SGD (ASGD); Adam for Machine Translation; LR Schedule: Learning rate warm-up strategy in Vaswani et al. (2017) for machine translation; Training: Adversarial training with perturbation on the output embedding vectors, Weight tying trick; Attention: N/A; Regularization: Adversarial regularization, Gaussian noise (annealed) in the input embedding layer; Special Algorithms: Minimax training strategy for regularization, involving injecting adversarial perturbation on the word embedding vectors in the softmax layer.; Initialization: N/A; Other: Mixture of softmax (MoS) is used in conjunction with AWD-LSTM to break the softmax bottleneck, Dynamic evaluation for perplexity calculation",,,,,,,,,,
214,4 layer QRNN + dynamic evaluation,"Dilin Wang, Chengyue Gong, Qiang Liu",2019/06/10,2019,Improving Neural Language Modeling via Adversarial Training,95.0,,https://arxiv.org/abs/1906.03805,2.60E+07,,3.6e+17,,,,0.0,103000000.0,0.00E+00,,103000000.0,WikiText-103,31.6,,,0.0,1.0,0,0,Recurrent/Convolutional,QRNN,https://github.com/ChengyueGongR/advsoft,,,,1,Word-level,268000,"Architecture: 4-layer QRNN for WT103, 3-layer LSTM (AWD-LSTM) for PTB and WT2; Optimizer: SGD and averaged SGD (ASGD) for AWD-LSTM, Adam for machine translation; LR Schedule: Learning rate warm-up strategy (for machine translation, Transformer); Training: Adversarial training, Weight tying (input and output embeddings); Attention: N/A; Regularization: Gaussian noise in the input embedding layer, Dropout, Activation Regularization, Layer Normalization; Special Algorithms: Adversarial MLE training; Initialization: N/A; Other: Mixture of Softmax (MoS)",,,,,,,,,,
215,Temporal Convolutional Attention-based Network(TCAN) (WT2),"Hongyan Hao, Yan Wang, Yudi Xia, Jian Zhao, Furao Shen",2020/02/28,2020,Temporal Convolutional Attention-based Network For Sequence Modeling,33.0,,https://arxiv.org/pdf/2002.12530,3.30E+07,,,,,,0.0,2080000.0,0.00E+00,,2080000.0,,,6.66,,0.0,0.0,0,0,,,https://github.com/haohy/TCAN,,,,1,,,"Architecture: Temporal Convolutional Attention-based Network (TCAN) which combines temporal convolutional network and attention mechanism. It includes Temporal Attention (TA) and Enhanced Residual (ER) modules. TA captures relevant features inside the sequence, while ER extracts the shallow layer's important information and transfers it to deep layers. Dilated causal convolutions are used in the hidden layers. Skip connections are implemented through ER.; Optimizer: Adam; LR Schedule: Constant learning rate of 0.0001; Training: gradient clipping; Attention: Self-attention mechanism with modification to satisfy sequential nature/causality. Dot product attention. The input is mapped to queries, keys and values via linear transformation. The weights matrix excludes future time steps to prevent information leakage; Initialization: Not mentioned explicitly",,,,,,,,,,
